"Date","Sales USD"
"2019-09-18",187.03
"2019-09-19",4006.04
"2019-09-20",367.45
"2019-09-21",4264.5
"2019-09-22",166.85
"2019-09-23",253.51
"2019-09-24",339.03
"2019-09-25",114.07
"2019-09-26",269.34
"2019-09-27",3379.68
"2019-09-28",1112.45
"2019-09-29",41979.61
"2019-09-30",2134.3
"2019-10-01",4401.9
"2019-10-02",1412.31
"2019-10-03",1077.09
"2019-10-04",4552.71
"2019-10-05",1071.43
"2019-10-06",694.53
"2019-10-07",2708.71
"2019-10-08",510.3
"2019-10-09",72692.37
"2019-10-10",859.48
"2019-10-11",3285.44
"2019-10-12",528.57
"2019-10-13",415.08
"2019-10-14",2274.82
"2019-10-15",87113.17
"2019-10-16",117888.58
"2019-10-17",97614.65
"2019-10-18",80303.9
"2019-10-19",84528.81
"2019-10-20",30999.23
"2019-10-21",27791.31
"2019-10-22",41844.7
"2019-10-23",41206.27
"2019-10-24",40430.07
"2019-10-25",55186.89
"2019-10-26",44447.81
"2019-10-27",28619.07
"2019-10-28",40268.16
"2019-10-29",31191.47
"2019-10-30",37485.53
"2019-10-31",13937.14
"2019-11-01",22174.25
"2019-11-02",18158.09
"2019-11-03",46791.82
"2019-11-04",16141.88
"2019-11-05",10506.98
"2019-11-06",27330.07
"2019-11-07",39801.33
"2019-11-08",13900.04
"2019-11-09",9868.92
"2019-11-10",12938.35
"2019-11-11",20962.47
"2019-11-12",15710.82
"2019-11-13",8534.96
"2019-11-14",14120.16
"2019-11-15",5281.75
"2019-11-16",3873.19
"2019-11-17",4296.73
"2019-11-18",8364.66
"2019-11-19",5526.81
"2019-11-20",6317.09
"2019-11-21",4231.85
"2019-11-22",1462.96
"2019-11-23",1942.3
"2019-11-24",2404.71
"2019-11-25",2540.07
"2019-11-26",8281.57
"2019-11-27",4906.09
"2019-11-28",2196.74
"2019-11-29",2213.2
"2019-11-30",4797.8
"2019-12-01",2577.24
"2019-12-02",7527.34
"2019-12-03",4979.82
"2019-12-04",3159.63
"2019-12-05",3791.8
"2019-12-06",1624.02
"2019-12-07",9273.42
"2019-12-08",1891.56
"2019-12-09",2125.11
"2019-12-10",4581.62
"2019-12-11",2606.91
"2019-12-12",11470.64
"2019-12-13",908.84
"2019-12-14",6203.11
"2019-12-15",1795.81
"2019-12-16",2876.15
"2019-12-17",4778.47
"2019-12-18",5401.99
"2019-12-19",1437.56
"2019-12-20",1003.63
"2019-12-21",17672.77
"2019-12-22",769.7
"2019-12-23",1788.87
"2019-12-24",655.82
"2019-12-25",624.46
"2019-12-26",5049.93
"2019-12-27",957.95
"2019-12-28",1337.58
"2019-12-29",746.72
"2019-12-30",1552.35
"2019-12-31",2378.57
"2020-01-01",1027.91
"2020-01-02",1418.79
"2020-01-03",10663.16
"2020-01-04",654.22
"2020-01-05",1349.01
"2020-01-06",976.28
"2020-01-07",1813.12
"2020-01-08",656.58
"2020-01-09",1252.4
"2020-01-10",2058.31
"2020-01-11",1105.73
"2020-01-12",3554.24
"2020-01-13",3538.72
"2020-01-14",6350.27
"2020-01-15",623.6
"2020-01-16",1170.23
"2020-01-17",604.58
"2020-01-18",1000.22
"2020-01-19",4152.29
"2020-01-20",2088.31
"2020-01-21",6626.42
"2020-01-22",9268.73
"2020-01-23",6960.04
"2020-01-24",875.15
"2020-01-25",654.82
"2020-01-26",329.21
"2020-01-27",9060.24
"2020-01-28",1996.9
"2020-01-29",1214.95
"2020-01-30",1243.1
"2020-01-31",761.53
"2020-02-01",18974.45
"2020-02-02",764.77
"2020-02-03",15331.67
"2020-02-04",70.34
"2020-02-05",2745.72
"2020-02-06",813.52
"2020-02-07",183.61
"2020-02-08",3193.84
"2020-02-09",166.84
"2020-02-10",2982.32
"2020-02-11",8406.44
"2020-02-12",7076.77
"2020-02-13",1812.18
"2020-02-14",4586.52
"2020-02-15",1218.93
"2020-02-16",1404.75
"2020-02-17",2843.33
"2020-02-18",1171.35
"2020-02-19",1889.67
"2020-02-20",1181.45
"2020-02-21",2255.05
"2020-02-22",2288.34
"2020-02-23",10180.31
"2020-02-24",2022.71
"2020-02-25",5333.9
"2020-02-26",5579.31
"2020-02-27",5297.72
"2020-02-28",5774.17
"2020-02-29",1457.27
"2020-03-01",2199.3
"2020-03-02",1133.59
"2020-03-03",941.65
"2020-03-04",1652.71
"2020-03-05",2758.94
"2020-03-06",5854.44
"2020-03-07",1036.26
"2020-03-08",922.92
"2020-03-09",4320.39
"2020-03-10",538.29
"2020-03-11",855.49
"2020-03-12",120.67
"2020-03-13",7632.65
"2020-03-14",461.33
"2020-03-15",3125.78
"2020-03-16",313.05
"2020-03-17",1552.2
"2020-03-18",320.94
"2020-03-19",1147.59
"2020-03-20",4669.23
"2020-03-21",1522.73
"2020-03-22",2545.51
"2020-03-23",2637.94
"2020-03-24",1125.41
"2020-03-25",780.4
"2020-03-26",26255.74
"2020-03-27",6003.76
"2020-03-28",3367.76
"2020-03-29",344.06
"2020-03-30",3340.14
"2020-03-31",966.55
"2020-04-01",1026
"2020-04-02",1348.41
"2020-04-03",7810.5
